,content_id,date_str,month,day,year
0,60,missing,12,31,2099
1,61,"Aug 30, 2017",8,30,2017
2,66,"Aug 30, 2017",8,30,2017
3,80,"Aug 29, 2017",8,29,2017
4,82,"Aug 29, 2017",8,29,2017
5,85,"Aug 29, 2017",8,29,2017
6,87,"Aug 21, 2017",8,21,2017
7,90,"Aug 10, 2017",8,10,2017
8,96,"Aug 30, 2017",8,30,2017
9,98,"Aug 30, 2017",8,30,2017
10,101,"Aug 28, 2017",8,28,2017
11,102,"Aug 24, 2017",8,24,2017
12,103,"Aug 18, 2017",8,18,2017
13,116,"Aug 8, 2017",8,8,2017
14,120,"Aug 29, 2017",8,29,2017
15,122,"Jul 14, 2017",7,14,2017
16,124,"Aug 28, 2017",8,28,2017
17,125,"Aug 29, 2017",8,29,2017
18,142,missing,12,31,2099
19,145,"Aug 30, 2017",8,30,2017
20,147,"Aug 29, 2017",8,29,2017
21,148,"Nov 28, 2017",11,28,2017
22,151,"Aug 4, 2017",8,4,2017
23,153,"Aug 3, 2017",8,3,2017
24,184,"Aug 31, 2017",8,31,2017
25,189,"Aug 31, 2017",8,31,2017
26,191,missing,12,31,2099
27,192,"Aug 31, 2017",8,31,2017
28,193,"Aug 31, 2017",8,31,2017
29,194,"Aug 31, 2017",8,31,2017
30,195,"Aug 31, 2017",8,31,2017
31,196,missing,12,31,2099
32,198,"Aug 3, 2017",8,3,2017
33,199,"Jul 13, 2017",7,13,2017
34,202,"Aug 31, 2017",8,31,2017
35,204,"Aug 31, 2017",8,31,2017
36,206,"Aug 31, 2017",8,31,2017
37,227,"Sep 4, 2017",9,4,2017
38,234,"Sep 1, 2017",9,1,2017
39,237,"Sep 1, 2017",9,1,2017
40,239,"Sep 1, 2017",9,1,2017
41,241,"Sep 5, 2017",9,5,2017
42,245,"Jul 11, 2017",7,11,2017
43,246,"Sep 1, 2017",9,1,2017
44,248,"Jul 7, 2017",7,7,2017
45,249,"Sep 2, 2017",9,2,2017
46,250,"Aug 2, 2017",8,2,2017
47,251,"Sep 1, 2017",9,1,2017
48,252,"Jul 27, 2017",7,27,2017
49,253,"Sep 1, 2017",9,1,2017
50,263,"Sep 2, 2017",9,2,2017
51,266,"Sep 2, 2017",9,2,2017
52,283,"Jul 5, 2017",7,5,2017
53,286,"Jul 5, 2017",7,5,2017
54,289,"Sep 2, 2017",9,2,2017
55,291,"Sep 1, 2017",9,1,2017
56,293,"Sep 4, 2017",9,4,2017
57,296,"Jul 27, 2017",7,27,2017
58,303,"Sep 3, 2017",9,3,2017
59,304,"Sep 2, 2017",9,2,2017
60,321,"Sep 3, 2017",9,3,2017
61,334,"Sep 3, 2017",9,3,2017
62,335,"Sep 3, 2017",9,3,2017
63,336,"Sep 4, 2017",9,4,2017
64,339,"May 12, 2017",5,12,2017
65,340,"Aug 31, 2017",8,31,2017
66,341,"Jun 28, 2017",6,28,2017
67,342,"Jun 27, 2017",6,27,2017
68,355,"Jul 1, 2017",7,1,2017
69,359,"Jun 23, 2017",6,23,2017
70,374,"Sep 4, 2017",9,4,2017
71,375,"Sep 4, 2017",9,4,2017
72,377,"Sep 3, 2017",9,3,2017
73,380,"Aug 31, 2017",8,31,2017
74,382,"Aug 30, 2017",8,30,2017
75,385,"Sep 5, 2017",9,5,2017
76,386,"Sep 4, 2017",9,4,2017
77,447,"Jun 22, 2017",6,22,2017
78,453,"Jun 22, 2017",6,22,2017
79,459,"Sep 6, 2017",9,6,2017
80,460,"Sep 6, 2017",9,6,2017
81,463,"Sep 6, 2017",9,6,2017
82,466,"Sep 5, 2017",9,5,2017
83,468,"Sep 5, 2017",9,5,2017
84,473,"Sep 5, 2017",9,5,2017
85,481,"Sep 6, 2017",9,6,2017
86,484,"Sep 6, 2017",9,6,2017
87,486,"Sep 8, 2017",9,8,2017
88,507,"Sep 7, 2017",9,7,2017
89,513,"Sep 5, 2017",9,5,2017
90,521,"Sep 7, 2017",9,7,2017
91,524,"Jun 21, 2017",6,21,2017
92,526,"Jun 21, 2017",6,21,2017
93,535,"Sep 7, 2017",9,7,2017
94,550,"Sep 7, 2017",9,7,2017
95,554,"Sep 7, 2017",9,7,2017
96,561,"Sep 6, 2017",9,6,2017
97,570,"Sep 8, 2017",9,8,2017
98,572,"Sep 5, 2017",9,5,2017
99,573,"Sep 8, 2017",9,8,2017
100,574,"Jun 19, 2017",6,19,2017
101,575,"Sep 7, 2017",9,7,2017
102,576,"Sep 7, 2017",9,7,2017
103,577,"Jun 17, 2017",6,17,2017
104,607,"Sep 9, 2017",9,9,2017
105,614,"Jun 16, 2017",6,16,2017
106,617,"Sep 9, 2017",9,9,2017
107,620,"Sep 8, 2017",9,8,2017
108,623,"Sep 8, 2017",9,8,2017
109,624,"Sep 8, 2017",9,8,2017
110,663,"Jun 13, 2017",6,13,2017
111,665,"Sep 9, 2017",9,9,2017
112,666,"Jun 13, 2017",6,13,2017
113,668,"Sep 10, 2017",9,10,2017
114,669,"Sep 9, 2017",9,9,2017
115,691,"Sep 11, 2017",9,11,2017
116,695,missing,12,31,2099
117,697,"Jun 12, 2017",6,12,2017
118,701,"Jun 12, 2017",6,12,2017
119,723,"Dec 29, 2017",12,29,2017
120,726,"Sep 10, 2017",9,10,2017
121,728,"Sep 11, 2017",9,11,2017
122,732,"Sep 11, 2017",9,11,2017
123,745,"Aug 24, 2017",8,24,2017
124,749,"Sep 6, 2017",9,6,2017
125,773,"Jun 8, 2017",6,8,2017
126,775,"Jun 6, 2017",6,6,2017
127,778,"Sep 12, 2017",9,12,2017
128,779,"Sep 11, 2017",9,11,2017
129,780,"Sep 11, 2017",9,11,2017
130,808,"Sep 12, 2017",9,12,2017
131,811,missing,12,31,2099
132,812,"Sep 12, 2017",9,12,2017
133,814,"Sep 13, 2017",9,13,2017
134,815,"Sep 12, 2017",9,12,2017
135,817,"Sep 13, 2017",9,13,2017
136,818,"Sep 12, 2017",9,12,2017
137,819,"Sep 13, 2017",9,13,2017
138,822,missing,12,31,2099
139,839,"Sep 13, 2017",9,13,2017
140,843,"Sep 13, 2017",9,13,2017
141,857,"Sep 13, 2017",9,13,2017
142,871,"Jun 6, 2017",6,6,2017
143,873,"Sep 13, 2017",9,13,2017
144,874,"Sep 13, 2017",9,13,2017
145,884,missing,12,31,2099
146,888,"Aug 10, 2017",8,10,2017
147,895,"Jun 5, 2017",6,5,2017
148,918,"Sep 14, 2017",9,14,2017
149,919,"Sep 13, 2017",9,13,2017
150,920,"Sep 5, 2017",9,5,2017
151,925,"Sep 15, 2017",9,15,2017
152,926,"Sep 14, 2017",9,14,2017
153,927,"Sep 15, 2017",9,15,2017
154,928,"Sep 14, 2017",9,14,2017
155,931,"Sep 15, 2017",9,15,2017
156,943,"Sep 13, 2017",9,13,2017
157,947,"Sep 15, 2017",9,15,2017
158,953,"Jun 5, 2017",6,5,2017
159,956,"Jun 1, 2017",6,1,2017
160,957,"Sep 13, 2017",9,13,2017
161,958,"Jun 1, 2017",6,1,2017
162,967,"Sep 14, 2017",9,14,2017
163,968,"Sep 13, 2017",9,13,2017
164,969,"Sep 7, 2017",9,7,2017
165,978,"Sep 15, 2017",9,15,2017
166,979,"Sep 15, 2017",9,15,2017
167,980,"Sep 15, 2017",9,15,2017
168,984,"Sep 16, 2017",9,16,2017
